Province/State,Country/Region,Lat,Long,cases
Afghanistan,Afghanistan,33.93911,67.709953,36675
Albania,Albania,41.1533,20.1683,5276
Algeria,Algeria,28.0339,1.6596,30394
Andorra,Andorra,42.5063,1.5218,925
Angola,Angola,-11.2027,17.8739,1148
Antigua and Barbuda,Antigua and Barbuda,17.0608,-61.7964,91
Argentina,Argentina,-38.4161,-63.6167,191302
Armenia,Armenia,40.0691,45.0382,38550
Australian Capital Territory,Australia,-35.4735,149.0124,113
New South Wales,Australia,-33.8688,151.2093,3773
Northern Territory,Australia,-12.4634,130.8456,33
Queensland,Australia,-27.4698,153.0251,1084
South Australia,Australia,-34.9285,138.6007,451
Tasmania,Australia,-42.8821,147.3272,229
Victoria,Australia,-37.8136,144.9631,10931
Western Australia,Australia,-31.9505,115.8605,666
Austria,Austria,47.5162,14.5501,21130
Azerbaijan,Azerbaijan,40.1431,47.5769,31878
Bahamas,Bahamas,25.025885,-78.035889,574
Bahrain,Bahrain,26.0275,50.55,40982
Bangladesh,Bangladesh,23.685,90.3563,237661
Barbados,Barbados,13.1939,-59.5432,110
Belarus,Belarus,53.7098,27.9534,67808
Belgium,Belgium,50.8333,4.469936,68751
Benin,Benin,9.3077,2.3158,1805
Bhutan,Bhutan,27.5142,90.4336,101
Bolivia,Bolivia,-16.2902,-63.5887,76789
Bosnia and Herzegovina,Bosnia and Herzegovina,43.9159,17.6791,11876
Brazil,Brazil,-14.235,-51.9253,2662485
Brunei,Brunei,4.5353,114.7277,141
Bulgaria,Bulgaria,42.7339,25.4858,11690
Burkina Faso,Burkina Faso,12.2383,-1.5616,1106
Cabo Verde,Cabo Verde,16.5388,-23.0418,2451
Cambodia,Cambodia,11.55,104.9167,239
Cameroon,Cameroon,3.848,11.5021,17255
Alberta,Canada,53.9333,-116.5765,10843
British Columbia,Canada,53.7267,-127.6476,3641
Manitoba,Canada,53.7609,-98.8139,415
New Brunswick,Canada,46.5653,-66.4619,170
Newfoundland and Labrador,Canada,53.1355,-57.6604,266
Nova Scotia,Canada,44.682,-63.7443,1069
Ontario,Canada,51.2538,-85.3232,41178
Prince Edward Island,Canada,46.5107,-63.4168,36
Quebec,Canada,52.9399,-73.5491,59312
Saskatchewan,Canada,52.9399,-106.4509,1319
Central African Republic,Central African Republic,6.6111,20.9394,4608
Chad,Chad,15.4542,18.7322,936
Chile,Chile,-35.6751,-71.543,355667
Anhui,China,31.8257,117.2264,991
Beijing,China,40.1824,116.4142,933
Chongqing,China,30.0572,107.874,583
Fujian,China,26.0789,117.9874,366
Gansu,China,35.7518,104.2861,167
Guangdong,China,23.3417,113.4244,1680
Guangxi,China,23.8298,108.7881,255
Guizhou,China,26.8154,106.8748,147
Hainan,China,19.1959,109.7453,171
Hebei,China,39.549,116.1306,349
Heilongjiang,China,47.862,127.7615,947
Henan,China,37.8957,114.9042,1276
Hong Kong,China,22.3,114.2,3272
Hubei,China,30.9756,112.2707,68135
Hunan,China,27.6104,111.7088,1019
Inner Mongolia,China,44.0935,113.9448,258
Jiangsu,China,32.9711,119.455,655
Jiangxi,China,27.614,115.7221,932
Jilin,China,43.6661,126.1923,157
Liaoning,China,41.2956,122.6085,241
Macau,China,22.1667,113.55,46
Ningxia,China,37.2692,106.1655,75
Qinghai,China,35.7452,95.9956,18
Shaanxi,China,35.1917,108.8701,324
Shandong,China,36.3427,118.1498,799
Shanghai,China,31.202,121.4491,748
Shanxi,China,37.5777,112.2922,201
Sichuan,China,30.6171,102.7103,604
Tianjin,China,39.3054,117.323,205
Tibet,China,31.6927,88.0924,1
Xinjiang,China,41.1129,85.2401,639
Yunnan,China,24.974,101.487,191
Zhejiang,China,29.1832,120.0934,1270
Colombia,Colombia,4.5709,-74.2973,295508
Congo (Brazzaville),Congo (Brazzaville),-0.228,15.8277,3200
Congo (Kinshasa),Congo (Kinshasa),-4.0383,21.7587,9070
Costa Rica,Costa Rica,9.7489,-83.7534,17820
Cote d'Ivoire,Cote d'Ivoire,7.54,-5.5471,16047
Croatia,Croatia,45.1,15.2,5139
Cuba,Cuba,21.521757,-77.781167,2608
Cyprus,Cyprus,35.1264,33.4299,1114
Czechia,Czechia,49.8175,15.473,16574
Faroe Islands,Denmark,61.8926,-6.9118,225
Greenland,Denmark,71.7069,-42.6043,14
Denmark,Denmark,56.2639,9.5018,13789
Djibouti,Djibouti,11.8251,42.5903,5084
Dominican Republic,Dominican Republic,18.7357,-70.1627,69649
Ecuador,Ecuador,-1.8312,-78.1834,85355
Egypt,Egypt,26.820553,30.802498,94078
El Salvador,El Salvador,13.7942,-88.8965,16632
Equatorial Guinea,Equatorial Guinea,1.6508,10.2679,4821
Eritrea,Eritrea,15.1794,39.7823,279
Estonia,Estonia,58.5953,25.0136,2064
Eswatini,Eswatini,-26.5225,31.4659,2648
Ethiopia,Ethiopia,9.145,40.4897,17530
Fiji,Fiji,-17.7134,178.065,27
Finland,Finland,61.92411,25.748151,7432
French Guiana,France,3.9339,-53.1258,7799
French Polynesia,France,-17.6797,149.4068,62
Guadeloupe,France,16.265,-61.551,265
Mayotte,France,-12.8275,45.166244,2962
New Caledonia,France,-20.904305,165.618042,22
Reunion,France,-21.1151,55.5364,660
Saint Barthelemy,France,17.9,-62.8333,8
St Martin,France,18.0708,-63.0501,53
Martinique,France,14.6415,-61.0242,269
France,France,46.2276,2.2137,213093
Gabon,Gabon,-0.8037,11.6094,7352
Gambia,Gambia,13.4432,-15.3101,498
Georgia,Georgia,42.3154,43.3569,1168
Germany,Germany,51.165691,10.451526,210399
Ghana,Ghana,7.9465,-1.0232,35501
Greece,Greece,39.0742,21.8243,4477
Guatemala,Guatemala,15.7835,-90.2308,49789
Guinea,Guinea,9.9456,-9.6966,7308
Guyana,Guyana,4.860416,-58.93018,413
Haiti,Haiti,18.9712,-72.2852,7424
Holy See,Holy See,41.9029,12.4534,12
Honduras,Honduras,15.2,-86.2419,42014
Hungary,Hungary,47.1625,19.5033,4505
Iceland,Iceland,64.9631,-19.0208,1885
India,India,20.593684,78.96288,1695988
Indonesia,Indonesia,-0.7893,113.9213,108376
Iran,Iran,32.427908,53.688046,304204
Iraq,Iraq,33.223191,43.679291,124609
Ireland,Ireland,53.1424,-7.6921,26065
Israel,Israel,31.046051,34.851612,70970
Italy,Italy,41.87194,12.56738,247537
Jamaica,Jamaica,18.1096,-77.2975,878
Japan,Japan,36.204824,138.252924,36234
Jordan,Jordan,31.24,36.51,1193
Kazakhstan,Kazakhstan,48.0196,66.9237,90367
Kenya,Kenya,-0.0236,37.9062,20636
"Korea, South","Korea, South",35.907757,127.766922,14336
Kuwait,Kuwait,29.31166,47.481766,66957
Kyrgyzstan,Kyrgyzstan,41.20438,74.766098,35805
Latvia,Latvia,56.8796,24.6032,1231
Lebanon,Lebanon,33.8547,35.8623,4555
Liberia,Liberia,6.428055,-9.429499,1186
Liechtenstein,Liechtenstein,47.14,9.55,88
Lithuania,Lithuania,55.1694,23.8813,2075
Luxembourg,Luxembourg,49.8153,6.1296,6695
Madagascar,Madagascar,-18.766947,46.869107,10868
Malaysia,Malaysia,4.210484,101.975766,8976
Maldives,Maldives,3.2028,73.2207,3793
Malta,Malta,35.9375,14.3754,824
Mauritania,Mauritania,21.0079,-10.9408,6310
Mauritius,Mauritius,-20.348404,57.552152,344
Mexico,Mexico,23.6345,-102.5528,424637
Moldova,Moldova,47.4116,28.3699,24733
Monaco,Monaco,43.7333,7.4167,120
Mongolia,Mongolia,46.8625,103.8467,291
Montenegro,Montenegro,42.708678,19.37439,3073
Morocco,Morocco,31.7917,-7.0926,24322
Namibia,Namibia,-22.9576,18.4904,2129
Nepal,Nepal,28.1667,84.25,19771
Aruba,Netherlands,12.5211,-69.9683,121
Curacao,Netherlands,12.1696,-68.99,29
Sint Maarten,Netherlands,18.0425,-63.0548,128
Netherlands,Netherlands,52.1326,5.2913,54301
New Zealand,New Zealand,-40.9006,174.886,1562
Nicaragua,Nicaragua,12.865416,-85.207229,3672
Niger,Niger,17.607789,8.081666,1134
Nigeria,Nigeria,9.082,8.6753,43151
North Macedonia,North Macedonia,41.6086,21.7453,10754
Norway,Norway,60.472,8.4689,9240
Oman,Oman,21.512583,55.923255,79159
Pakistan,Pakistan,30.3753,69.3451,278305
Panama,Panama,8.538,-80.7821,65256
Papua New Guinea,Papua New Guinea,-6.314993,143.95555,72
Paraguay,Paraguay,-23.4425,-58.4438,5338
Peru,Peru,-9.19,-75.0152,407492
Philippines,Philippines,12.879721,121.774017,93354
Poland,Poland,51.9194,19.1451,45688
Portugal,Portugal,39.3999,-8.2245,51072
Qatar,Qatar,25.3548,51.1839,110695
Romania,Romania,45.9432,24.9668,50886
Russia,Russia,61.52401,105.318756,838461
Rwanda,Rwanda,-1.9403,29.8739,2022
Saint Lucia,Saint Lucia,13.9094,-60.9789,25
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,12.9843,-61.2872,54
San Marino,San Marino,43.9424,12.4578,699
Saudi Arabia,Saudi Arabia,23.885942,45.079162,275905
Senegal,Senegal,14.4974,-14.4524,10232
Serbia,Serbia,44.0165,21.0059,25552
Seychelles,Seychelles,-4.6796,55.492,114
Singapore,Singapore,1.2833,103.8333,52205
Slovakia,Slovakia,48.669,19.699,2292
Slovenia,Slovenia,46.1512,14.9955,2156
Somalia,Somalia,5.152149,46.199616,3212
South Africa,South Africa,-30.5595,22.9375,493183
Spain,Spain,40.463667,-3.74922,288522
Sri Lanka,Sri Lanka,7.873054,80.771797,2815
Sudan,Sudan,12.8628,30.2176,11644
Suriname,Suriname,3.9193,-56.0278,1650
Sweden,Sweden,60.128161,18.643501,80422
Switzerland,Switzerland,46.8182,8.2275,35232
Taiwan*,Taiwan*,23.7,121,467
Tanzania,Tanzania,-6.369028,34.888822,509
Thailand,Thailand,15.870032,100.992541,3310
Togo,Togo,8.6195,0.8248,941
Trinidad and Tobago,Trinidad and Tobago,10.6918,-61.2225,169
Tunisia,Tunisia,33.886917,9.537499,1535
Turkey,Turkey,38.9637,35.2433,230873
Uganda,Uganda,1.373333,32.290275,1154
Ukraine,Ukraine,48.3794,31.1656,71404
United Arab Emirates,United Arab Emirates,23.424076,53.847818,60506
Bermuda,United Kingdom,32.3078,-64.7505,156
Cayman Islands,United Kingdom,19.3133,-81.2546,203
Channel Islands,United Kingdom,49.3723,-2.3644,587
Gibraltar,United Kingdom,36.1408,-5.3536,187
Isle of Man,United Kingdom,54.2361,-4.5481,336
Montserrat,United Kingdom,16.742498,-62.187366,12
United Kingdom,United Kingdom,55.3781,-3.436,303181
Uruguay,Uruguay,-32.5228,-55.7658,1264
US,US,40,-100,4562107
Uzbekistan,Uzbekistan,41.377491,64.585262,24009
Venezuela,Venezuela,6.4238,-66.5897,18574
Vietnam,Vietnam,14.058324,108.277199,558
Zambia,Zambia,-13.133897,27.849332,5963
Zimbabwe,Zimbabwe,-19.015438,29.154857,3169
Dominica,Dominica,15.415,-61.371,18
Grenada,Grenada,12.1165,-61.679,24
Mozambique,Mozambique,-18.665695,35.529562,1864
Syria,Syria,34.802075,38.996815,757
Timor-Leste,Timor-Leste,-8.874217,125.727539,24
Belize,Belize,17.1899,-88.4976,48
Laos,Laos,19.85627,102.495496,20
Libya,Libya,26.3351,17.228331,3621
West Bank and Gaza,West Bank and Gaza,31.9522,35.2332,11837
Guinea-Bissau,Guinea-Bissau,11.8037,-15.1804,1981
Mali,Mali,17.570692,-3.996166,2535
Saint Kitts and Nevis,Saint Kitts and Nevis,17.357822,-62.782998,17
Northwest Territories,Canada,64.8255,-124.8457,5
Yukon,Canada,64.2823,-135,14
Kosovo,Kosovo,42.602636,20.902977,8104
Burma,Burma,21.9162,95.956,353
Anguilla,United Kingdom,18.2206,-63.0686,3
British Virgin Islands,United Kingdom,18.4207,-64.64,8
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,107
Botswana,Botswana,-22.3285,24.6849,804
Burundi,Burundi,-3.3731,29.9189,387
Sierra Leone,Sierra Leone,8.460555,-11.779889,1823
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,11
Malawi,Malawi,-13.2543,34.3015,4078
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,13
Saint Pierre and Miquelon,France,46.8852,-56.3159,4
South Sudan,South Sudan,6.877,31.307,2322
Western Sahara,Western Sahara,24.2155,-12.8858,10
Sao Tome and Principe,Sao Tome and Principe,0.1864,6.6131,871
Yemen,Yemen,15.552727,48.516388,1728
Comoros,Comoros,-11.6455,43.3333,378
Tajikistan,Tajikistan,38.861,71.2761,7409
Lesotho,Lesotho,-29.61,28.2336,604
